Título,Preço (£),Classificação,Categoria
Adultery,20.88,Five,Default
Unlimited Intuition Now,58.87,Four,Default
Underlying Notes,11.82,Two,Default
The New Brand You: Your New Image Makes the Sale for You,44.05,Five,Default
The Flowers Lied,16.68,Two,Default
"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",10.41,Four,Default
Modern Day Fables,47.44,Two,Default
The Unlikely Pilgrimage of Harold Fry (Harold Fry #1),43.62,Five,Default
The Martian (The Martian #1),41.39,Two,Default
Left Behind (Left Behind #1),40.72,Two,Default
John Vassos: Industrial Design for Modern Life,20.22,Four,Default
I'll Give You the Sun,56.48,One,Default
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,52.86,Two,Default
Ender's Game (The Ender Quintet #1),43.64,One,Default
Death by Leisure: A Cautionary Tale,37.51,Four,Default
Wildlife of New York: A Five-Borough Coloring Book,22.14,Two,Default
The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,34.72,One,Default
The Great Gatsby,36.05,Four,Default
The Good Girl,49.03,Three,Default
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,33.17,Four,Default
Steal Like an Artist: 10 Things Nobody Told You About Being Creative,20.9,Two,Default
Life of Pi,13.22,Four,Default
The Sound Of Love,57.84,Five,Default
The Perks of Being a Wallflower,55.02,Three,Default
The Makings of a Fatherless Child,31.58,Two,Default
The Hobbit (Middle-Earth Universe),17.8,Five,Default
The Fellowship of the Ring (The Lord of the Rings #1),10.27,Two,Default
Ship Leaves Harbor: Essays on Travel by a Recovering Journeyman,30.6,Three,Default
Musicophilia: Tales of Music and the Brain,46.58,One,Default
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,53.68,Four,Default
The Fault in Our Stars,47.22,One,Default
The Dream Thieves (The Raven Cycle #2),34.5,One,Default
The 5th Wave (The 5th Wave #1),11.83,Two,Default
Shiver (The Wolves of Mercy Falls #1),16.23,Five,Default
Remember Me?,11.48,Three,Default
If I Stay (If I Stay #1),38.13,Five,Default
I Know Why the Caged Bird Sings (Maya Angelou's Autobiography #1),36.55,Two,Default
Harry Potter and the Deathly Hallows (Harry Potter #7),23.32,One,Default
Fool Me Once,16.96,One,Default
Drama,38.7,Two,Default
"Blue Lily, Lily Blue (The Raven Cycle #3)",34.13,Five,Default
Alight (The Generations Trilogy #2),58.59,Four,Default
Vogue Colors A to Z: A Fashion Coloring Book,52.35,Four,Default
The Shining (The Shining #1),27.88,Three,Default
The Hunger Games (The Hunger Games #1),29.85,Five,Default
Outlander (Outlander #1),19.67,Five,Default
Mockingjay (The Hunger Games #3),20.44,Four,Default
Harry Potter and the Sorcerer's Stone (Harry Potter #1),13.9,Three,Default
Confessions of a Shopaholic (Shopaholic #1),48.94,Two,Default
Zero History (Blue Ant #3),34.77,One,Default
World War Z: An Oral History of the Zombie War,21.8,One,Default
Wild: From Lost to Found on the Pacific Crest Trail,46.02,Three,Default
"Where'd You Go, Bernadette",18.13,One,Default
Twilight (Twilight #1),41.93,Two,Default
The Paris Wife,36.8,Three,Default
The Maze Runner (The Maze Runner #1),20.93,One,Default
The Lover's Dictionary,58.09,Two,Default
The Goldfinch,43.58,Three,Default
The Giver (The Giver Quartet #1),12.3,One,Default
The Girl Who Played with Fire (Millennium Trilogy #2),22.14,Two,Default
The Demon-Haunted World: Science as a Candle in the Dark,52.25,Four,Default
The Book Thief,53.49,Two,Default
The Autobiography of Malcolm X,23.43,Two,Default
Shopaholic & Baby (Shopaholic #5),46.45,Two,Default
Quiet: The Power of Introverts in a World That Can't Stop Talking,43.55,One,Default
Packing for Mars: The Curious Science of Life in the Void,56.68,Two,Default
Orange Is the New Black,24.61,Two,Default
One for the Money (Stephanie Plum #1),32.87,Two,Default
Morning Star (Red Rising #3),29.4,One,Default
Life After Life,26.13,Two,Default
"Lean In: Women, Work, and the Will to Lead",25.02,One,Default
Is Everyone Hanging Out Without Me? (And Other Concerns),20.11,Three,Default
Gone Girl,37.6,Five,Default
Fellside,38.62,One,Default
Eclipse (Twilight #3),18.74,One,Default
Dracula,52.62,Three,Default
Dead Wake: The Last Crossing of the Lusitania,39.24,Five,Default
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",17.81,One,Default
Dark Places,23.9,Five,Default
Breaking Dawn (Twilight #4),35.28,Five,Default
Beautiful Creatures (Caster Chronicles #1),21.55,Five,Default
A Visit from the Goon Squad,14.08,Five,Default
The Zombie Room,19.69,Five,Default
The Name of the Wind (The Kingkiller Chronicle #1),50.59,Three,Default
Taking Shots (Assassins #1),18.88,Two,Default
Shatter Me (Shatter Me #1),42.4,One,Default
Paradise Lost (Paradise #1),24.96,One,Default
On the Road (Duluoz Legend),32.36,Three,Default
Jane Eyre,38.43,Five,Default
Frankenstein,38.0,Two,Default
The Torch Is Passed: A Harding Family Story,19.09,One,Add a comment
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,Four,Add a comment
The Art Forger,40.76,Three,Add a comment
On a Midnight Clear,14.07,Three,Add a comment
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,Two,Add a comment
"Shobu Samurai, Project Aryoku (#3)",29.06,Three,Add a comment
Modern Romance,28.26,Five,Add a comment
The White Queen (The Cousins' War #1),25.91,Five,Add a comment
The Song of Achilles,37.4,Five,Add a comment
The Immortal Life of Henrietta Lacks,40.67,Two,Add a comment
The Dovekeepers,48.78,One,Add a comment
More Than Music (Chasing the Dream #1),37.61,Two,Add a comment
Code Name Verity (Code Name Verity #1),22.13,Four,Add a comment
Cell,20.29,Four,Add a comment
Angels Walking (Angels Walking #1),34.2,Two,Add a comment
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",56.48,Two,Add a comment
A People's History of the United States,40.79,Two,Add a comment
A Brush of Wings (Angels Walking #3),55.51,One,Add a comment
Rook,37.86,Four,Add a comment
The Midnight Watch: A Novel of the Titanic and the Californian,26.2,One,Add a comment
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,59.15,Four,Add a comment
The Children,11.88,Three,Add a comment
One with You (Crossfire #5),15.71,Four,Add a comment
Without Shame,48.27,Five,Add a comment
Watchmen,58.05,Four,Add a comment
A Hero's Curse (The Unseen Chronicles #1),50.49,Three,Add a comment
23 Degrees South: A Tropical Tale of Changing Whether...,35.79,Two,Add a comment
The Glass Castle,16.24,One,Add a comment
The Drowning Girls,35.67,Three,Add a comment
Team of Rivals: The Political Genius of Abraham Lincoln,20.12,Five,Add a comment
John Adams,57.43,Four,Add a comment
Good in Bed (Cannie Shapiro #1),37.05,Five,Add a comment
The Joy of Cooking,43.27,Four,Add a comment
The Golden Compass (His Dark Materials #1),18.77,One,Add a comment
The God Delusion,46.85,Three,Add a comment
Pride and Prejudice,19.27,Four,Add a comment
Mere Christianity,48.51,Three,Add a comment
Fun Home: A Family Tragicomic,56.59,Four,Add a comment
The Raven King (The Raven Cycle #4),30.57,Two,Add a comment
Find Her (Detective D.D. Warren #8),22.37,One,Add a comment
Evicted: Poverty and Profit in the American City,42.27,One,Add a comment
A Game of Thrones (A Song of Ice and Fire #1),46.42,Two,Add a comment
A Clash of Kings (A Song of Ice and Fire #2),10.79,Three,Add a comment
The Tipping Point: How Little Things Can Make a Big Difference,10.02,Two,Add a comment
The Rest Is Noise: Listening to the Twentieth Century,34.77,One,Add a comment
The Purpose Driven Life: What on Earth Am I Here for?,37.19,Three,Add a comment
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1),47.8,Three,Add a comment
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy #3),57.48,One,Add a comment
"The End of Faith: Religion, Terror, and the Future of Reason",22.13,Four,Add a comment
The Complete Poems,41.32,Five,Add a comment
The Catcher in the Rye,24.55,One,Add a comment
The Case for Christ (Cases for Christianity),47.84,One,Add a comment
The Blind Side: Evolution of a Game,53.71,Five,Add a comment
Seven Days in the Art World,52.33,Two,Add a comment
Sarah's Key,46.29,One,Add a comment
Rogue Lawyer (Rogue Lawyer #1),50.11,Three,Add a comment
Manuscript Found in Accra,34.98,Two,Add a comment
Fire Bound (Sea Haven/Sisters of the Heart #5),21.28,Four,Add a comment
Cosmos,36.17,Two,Add a comment
#GIRLBOSS,50.96,One,Add a comment
The Sense of an Ending,31.38,Three,Add a comment
The Republic,33.78,Three,Add a comment
The Odyssey,29.64,Three,Add a comment
The Light of the Fireflies,54.43,One,Add a comment
The Iliad,16.16,One,Add a comment
The Communist Manifesto,14.76,Three,Add a comment
Lord of the Flies,24.89,Three,Add a comment
Unicorn Tracks,18.78,Three,Fantasy
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,Three,Fantasy
Princess Between Worlds (Wide-Awake Princess #5),13.34,Five,Fantasy
Masks and Shadows,56.4,Two,Fantasy
Crown of Midnight (Throne of Glass #2),43.29,Three,Fantasy
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,Two,Fantasy
A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,One,Fantasy
Throne of Glass (Throne of Glass #1),35.07,Three,Fantasy
The Glittering Court (The Glittering Court #1),44.28,One,Fantasy
Hollow City (Miss Peregrine’s Peculiar Children #2),42.98,One,Fantasy
The Star-Touched Queen,46.02,Five,Fantasy
The Hidden Oracle (The Trials of Apollo #1),52.26,Two,Fantasy
The Bane Chronicles (The Bane Chronicles #1-11),44.73,Four,Fantasy
Island of Dragons (Unwanteds #7),29.65,One,Fantasy
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),37.51,Five,Fantasy
City of Glass (The Mortal Instruments #3),56.02,Four,Fantasy
Searching for Meaning in Gailana,38.73,One,Fantasy
The Star-Touched Queen,32.3,Five,Fantasy
A Shard of Ice (The Black Symphony Saga #1),56.63,Three,Fantasy
King's Folly (The Kinsman Chronicles #1),39.61,Five,Fantasy
Every Heart a Doorway (Every Heart A Doorway #1),12.16,Five,Fantasy
A Gathering of Shadows (Shades of Magic #2),44.81,Four,Fantasy
The Raven Boys (The Raven Cycle #1),57.74,Four,Fantasy
The False Prince (The Ascendance Trilogy #1),56.0,Five,Fantasy
Tell the Wind and Fire,45.51,Three,Fantasy
A Feast for Crows (A Song of Ice and Fire #4),17.21,Four,Fantasy
The Demonists (Demonist #1),52.11,Two,Fantasy
The Beast (Black Dagger Brotherhood #14),46.08,Five,Fantasy
Paper and Fire (The Great Library #2),49.45,Five,Fantasy
Harry Potter and the Order of the Phoenix (Harry Potter #5),31.63,Four,Fantasy
Harry Potter and the Half-Blood Prince (Harry Potter #6),48.75,Five,Fantasy
Harry Potter and the Chamber of Secrets (Harry Potter #2),14.74,One,Fantasy
The Rose & the Dagger (The Wrath and the Dawn #2),58.64,Four,Fantasy
Soldier (Talon #3),24.72,Two,Fantasy
Midnight Riot (Peter Grant/ Rivers of London - books #1),55.46,Two,Fantasy
Heir to the Sky,44.07,Four,Fantasy
Eragon (The Inheritance Cycle #1),43.87,Three,Fantasy
Darkfever (Fever #1),56.02,One,Fantasy
Ash,22.06,Four,Fantasy
A Storm of Swords (A Song of Ice and Fire #3),31.22,Two,Fantasy
Vampire Girl (Vampire Girl #1),53.82,Two,Fantasy
The Silent Twin (Detective Jennifer Knight #3),36.25,Three,Fantasy
The Mirror & the Maze (The Wrath and the Dawn #1.5),29.38,One,Fantasy
Sister Sable (The Mad Queen #1),13.33,Three,Fantasy
Shadow Rites (Jane Yellowrock #10),21.72,Four,Fantasy
Origins (Alphas 0.5),28.99,One,Fantasy
One Second (Seven #7),52.94,Two,Fantasy
Myriad (Prentor #1),58.75,Four,Fantasy
The Requiem Red,22.65,One,Young Adult
Set Me Free,17.46,Five,Young Adult
The Natural History of Us (The Fine Art of Pretending #2),45.22,Three,Young Adult
Obsidian (Lux #1),14.86,Two,Young Adult
Burning,28.81,Three,Young Adult
A Fierce and Subtle Poison,28.13,Four,Young Adult
Scarlett Epstein Hates It Here,43.55,Five,Young Adult
"Nightingale, Sing",38.28,One,Young Adult
Library of Souls (Miss Peregrine’s Peculiar Children #3),48.56,Five,Young Adult
Frostbite (Vampire Academy #2),29.99,Five,Young Adult
Wild Swans,14.36,Two,Young Adult
Until Friday Night (The Field Party #1),46.31,Two,Young Adult
This Is Where It Ends,27.12,Two,Young Adult
The Darkest Lie,35.35,Five,Young Adult
My Kind of Crazy,40.36,One,Young Adult
Don't Get Caught,55.35,One,Young Adult
Catching Jordan (Hundred Oaks),50.83,Three,Young Adult
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),58.14,Four,Young Adult
The Epidemic (The Program 0.6),14.44,Five,Young Adult
Stars Above (The Lunar Chronicles #4.5),48.05,Two,Young Adult
No Love Allowed (Dodge Cove #1),54.65,Four,Young Adult
"Exit, Pursued by a Bear",51.34,Four,Young Adult
The Alien Club,54.4,One,Young Adult
Don't Forget Steven,33.23,One,Young Adult
South of Sunshine,28.93,One,Young Adult
My Life Next Door (My Life Next Door ),36.39,Five,Young Adult
Future Shock (Future Shock #1),55.65,Five,Young Adult
Nightstruck: A Novel,50.35,Four,Young Adult
Tell the Wolves I'm Home,50.96,Two,Young Adult
"Will Grayson, Will Grayson (Will Grayson, Will Grayson)",47.31,Four,Young Adult
Where She Went (If I Stay #2),41.73,Four,Young Adult
Two Summers,14.64,One,Young Adult
The Darkest Corners,11.33,Five,Young Adult
Tell Me Three Things,41.81,One,Young Adult
Lola and the Boy Next Door (Anna and the French Kiss #2),23.63,Four,Young Adult
Kill the Boy Band,15.52,Five,Young Adult
Isla and the Happily Ever After (Anna and the French Kiss #3),48.13,Five,Young Adult
An Abundance of Katherines,10.0,Five,Young Adult
Harry Potter and the Prisoner of Azkaban (Harry Potter #3),24.17,Four,Young Adult
Walk the Edge (Thunder Road #2),32.36,Three,Young Adult
Two Boys Kissing,32.74,Two,Young Adult
The New Guy (and Other Senior Year Distractions),44.92,Three,Young Adult
"The Land of 10,000 Madonnas",29.64,Four,Young Adult
Scarlet (The Lunar Chronicles #2),14.57,Four,Young Adult
Legend (Legend #1),43.69,Four,Young Adult
Lady Renegades (Rebel Belle #3),53.04,Five,Young Adult
Golden (Heart of Dread #3),42.21,Four,Young Adult
Cinder (The Lunar Chronicles #1),26.09,One,Young Adult
Boy Meets Boy,21.12,Three,Young Adult
Annie on My Mind,36.83,Five,Young Adult
New Moon (Twilight #2),12.86,Four,Young Adult
Girl Online On Tour (Girl Online #2),53.47,One,Young Adult
The Haters,27.89,Five,Young Adult
The Art of Not Breathing,40.83,Four,Young Adult
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,Three,Food and Drink
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,One,Food and Drink
My Paris Kitchen: Recipes and Stories,33.37,Two,Food and Drink
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,Four,Food and Drink
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,One,Food and Drink
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,Five,Food and Drink
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.6,Two,Food and Drink
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,One,Food and Drink
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,Three,Food and Drink
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,28.77,Three,Food and Drink
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",19.55,One,Food and Drink
Barefoot Contessa Back to Basics,28.01,One,Food and Drink
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,50.62,Five,Food and Drink
My Kitchen Year: 136 Recipes That Saved My Life,11.53,Two,Food and Drink
Everyday Italian: 125 Simple and Delicious Recipes,20.1,Five,Food and Drink
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",38.77,One,Food and Drink
Cravings: Recipes for What You Want to Eat,20.5,Three,Food and Drink
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",12.34,Four,Food and Drink
32 Yolks,53.63,Two,Food and Drink
"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",11.38,Five,Food and Drink
How to Cook Everything Vegetarian: Simple Meatless Recipes for Great Food (How to Cook Everything),46.01,Four,Food and Drink
How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,28.25,Two,Food and Drink
The Barefoot Contessa Cookbook,59.92,Five,Food and Drink
Better Homes and Gardens New Cook Book,39.61,Three,Food and Drink
The Power Greens Cookbook: 140 Delicious Superfood Recipes,11.05,Five,Food and Drink
Mexican Today: New and Rediscovered Recipes for Contemporary Kitchens,24.91,Five,Food and Drink
Vegan Vegetarian Omnivore: Dinner for Everyone at the Table,13.66,Two,Food and Drink
The Smitten Kitchen Cookbook,23.59,One,Food and Drink
"The Art of Simple Food: Notes, Lessons, and Recipes from a Delicious Revolution",34.32,Three,Food and Drink
Hungry Girl Clean & Hungry: Easy All-Natural Recipes for Healthy Eating in the Real World,33.14,Three,Food and Drink
